N,J,K,seed,transient_time
100,0.01,0.17999999999999994,0,90
100,0.01,0.17999999999999994,1,60
100,0.01,0.17999999999999994,2,0
100,0.01,0.18999999999999995,0,80
100,0.01,0.18999999999999995,1,50
100,0.01,0.18999999999999995,2,0
100,0.01,0.2,0,70
100,0.01,0.2,1,50
100,0.01,0.2,2,0
100,0.02,-0.010000000000000009,0,9850
100,0.02,-0.010000000000000009,1,9796
100,0.02,-0.010000000000000009,2,9821
100,0.02,-0.020000000000000018,0,9949
100,0.02,-0.020000000000000018,1,9860
100,0.02,-0.020000000000000018,2,0
100,0.02,-0.030000000000000027,0,0
100,0.02,-0.030000000000000027,1,9946
100,0.02,-0.030000000000000027,2,0
100,0.02,-0.040000000000000036,0,0
100,0.02,-0.040000000000000036,1,190
100,0.02,-0.040000000000000036,2,0
100,0.02,-0.050000000000000044,0,0
100,0.02,-0.050000000000000044,1,0
100,0.02,-0.050000000000000044,2,0
100,0.02,-0.06000000000000005,0,0
100,0.02,-0.06000000000000005,1,9773
100,0.02,-0.06000000000000005,2,0
100,0.02,-0.07000000000000006,0,0
100,0.02,-0.07000000000000006,1,3710
100,0.02,-0.07000000000000006,2,0
100,0.02,-0.08000000000000007,0,0
100,0.02,-0.08000000000000007,1,2760
100,0.02,-0.08000000000000007,2,0
100,0.02,-0.09000000000000008,0,0
100,0.02,-0.09000000000000008,1,9796
100,0.02,-0.09000000000000008,2,0
100,0.02,-0.09999999999999998,0,0
100,0.02,-0.09999999999999998,1,7110
100,0.02,-0.09999999999999998,2,0
100,0.02,-0.10999999999999999,0,0
100,0.02,-0.10999999999999999,1,2410
100,0.02,-0.10999999999999999,2,0
100,0.02,-0.12,0,0
100,0.02,-0.12,1,1950
100,0.02,-0.12,2,0
100,0.02,-0.13,0,0
100,0.02,-0.13,1,2430
100,0.02,-0.13,2,0
100,0.02,-0.14,0,0
100,0.02,-0.14,1,1920
100,0.02,-0.14,2,0
100,0.02,-0.15000000000000002,0,0
100,0.02,-0.15000000000000002,1,1710
100,0.02,-0.15000000000000002,2,0
100,0.02,-0.16000000000000003,0,0
100,0.02,-0.16000000000000003,1,1540
100,0.02,-0.16000000000000003,2,0
100,0.02,-0.17000000000000004,0,0
100,0.02,-0.17000000000000004,1,1410
100,0.02,-0.17000000000000004,2,0
100,0.02,-0.18000000000000005,0,0
100,0.02,-0.18000000000000005,1,1320
100,0.02,-0.18000000000000005,2,0
100,0.02,-0.19000000000000006,0,0
100,0.02,-0.19000000000000006,1,1250
100,0.02,-0.19000000000000006,2,0
100,0.02,-0.20000000000000007,0,0
100,0.02,-0.20000000000000007,1,1170
100,0.02,-0.20000000000000007,2,0
100,0.02,-0.21000000000000008,0,0
100,0.02,-0.21000000000000008,1,1090
100,0.02,-0.21000000000000008,2,0
100,0.02,-0.22000000000000008,0,0
100,0.02,-0.22000000000000008,1,1030
100,0.02,-0.22000000000000008,2,0
100,0.02,-0.22999999999999998,0,0
100,0.02,-0.22999999999999998,1,980
100,0.02,-0.22999999999999998,2,0
100,0.02,-0.24,0,0
100,0.02,-0.24,1,930
100,0.02,-0.24,2,0
100,0.02,-0.25,0,0
100,0.02,-0.25,1,880
100,0.02,-0.25,2,0
100,0.02,-0.26,0,0
100,0.02,-0.26,1,840
100,0.02,-0.26,2,0
100,0.02,-0.27,0,0
100,0.02,-0.27,1,800
100,0.02,-0.27,2,0
100,0.02,-0.28,0,0
100,0.02,-0.28,1,760
100,0.02,-0.28,2,0
100,0.02,-0.29000000000000004,0,0
100,0.02,-0.29000000000000004,1,720
100,0.02,-0.29000000000000004,2,0
100,0.02,-0.30000000000000004,0,0
100,0.02,-0.30000000000000004,1,680
100,0.02,-0.30000000000000004,2,0
100,0.02,-0.31000000000000005,0,0
100,0.02,-0.31000000000000005,1,640
100,0.02,-0.31000000000000005,2,0
100,0.02,-0.32000000000000006,0,0
100,0.02,-0.32000000000000006,1,0
100,0.02,-0.32000000000000006,2,0
100,0.02,-0.33,0,0
100,0.02,-0.33,1,0
100,0.02,-0.33,2,0
100,0.02,-0.34,0,0
100,0.02,-0.34,1,0
100,0.02,-0.34,2,0
100,0.02,-0.35000000000000003,0,0
100,0.02,-0.35000000000000003,1,0
100,0.02,-0.35000000000000003,2,0
100,0.02,-0.36000000000000004,0,0
100,0.02,-0.36000000000000004,1,0
100,0.02,-0.36000000000000004,2,0
100,0.02,-0.37000000000000005,0,0
100,0.02,-0.37000000000000005,1,0
100,0.02,-0.37000000000000005,2,0
100,0.02,-0.38000000000000006,0,0
100,0.02,-0.38000000000000006,1,0
100,0.02,-0.38000000000000006,2,0
100,0.02,-0.39,0,0
100,0.02,-0.39,1,0
100,0.02,-0.39,2,0
100,0.02,-0.41000000000000003,0,0
100,0.02,-0.41000000000000003,1,0
100,0.02,-0.41000000000000003,2,0
100,0.02,-0.42000000000000004,0,0
100,0.02,-0.42000000000000004,1,0
100,0.02,-0.42000000000000004,2,0
100,0.02,-0.43000000000000005,0,0
100,0.02,-0.43000000000000005,1,0
100,0.02,-0.43000000000000005,2,0
100,0.02,-0.44000000000000006,0,0
100,0.02,-0.44000000000000006,1,0
100,0.02,-0.44000000000000006,2,0
100,0.02,-0.45,0,0
100,0.02,-0.45,1,0
100,0.02,-0.45,2,0
100,0.02,-0.46,0,0
100,0.02,-0.46,1,0
100,0.02,-0.46,2,0
100,0.02,-0.47000000000000003,0,0
100,0.02,-0.47000000000000003,1,0
100,0.02,-0.47000000000000003,2,0
100,0.02,-0.48000000000000004,0,0
100,0.02,-0.48000000000000004,1,0
100,0.02,-0.48000000000000004,2,0
100,0.02,-0.49000000000000005,0,0
100,0.02,-0.49000000000000005,1,0
100,0.02,-0.49000000000000005,2,0
100,0.02,-0.4,0,0
100,0.02,-0.4,1,0
100,0.02,-0.4,2,0
100,0.02,-0.51,0,0
100,0.02,-0.51,1,0
100,0.02,-0.51,2,0
100,0.02,-0.52,0,0
100,0.02,-0.52,1,0
100,0.02,-0.52,2,0
100,0.02,-0.53,0,0
100,0.02,-0.53,1,0
100,0.02,-0.53,2,0
100,0.02,-0.54,0,0
100,0.02,-0.54,1,0
100,0.02,-0.54,2,0
100,0.02,-0.55,0,0
100,0.02,-0.55,1,0
100,0.02,-0.55,2,0
100,0.02,-0.56,0,0
100,0.02,-0.56,1,0
100,0.02,-0.56,2,0
100,0.02,-0.5700000000000001,0,0
100,0.02,-0.5700000000000001,1,0
100,0.02,-0.5700000000000001,2,0
100,0.02,-0.5800000000000001,0,0
100,0.02,-0.5800000000000001,1,0
100,0.02,-0.5800000000000001,2,0
100,0.02,-0.5900000000000001,0,0
100,0.02,-0.5900000000000001,1,0
100,0.02,-0.5900000000000001,2,0
100,0.02,-0.5,0,0
100,0.02,-0.5,1,0
100,0.02,-0.5,2,0
100,0.02,-0.6000000000000001,0,0
100,0.02,-0.6000000000000001,1,0
100,0.02,-0.6000000000000001,2,0
100,0.02,-0.6100000000000001,0,0
100,0.02,-0.6100000000000001,1,0
100,0.02,-0.6100000000000001,2,0
100,0.02,-0.6200000000000001,0,0
100,0.02,-0.6200000000000001,1,0
100,0.02,-0.6200000000000001,2,0
100,0.02,-0.63,0,0
100,0.02,-0.63,1,0
100,0.02,-0.63,2,0
100,0.02,-0.64,0,0
100,0.02,-0.64,1,0
100,0.02,-0.64,2,0
100,0.02,-0.65,0,0
100,0.02,-0.65,1,0
100,0.02,-0.65,2,0
100,0.02,-0.66,0,0
100,0.02,-0.66,1,0
100,0.02,-0.66,2,0
100,0.02,-0.67,0,0
100,0.02,-0.67,1,0
100,0.02,-0.67,2,0
100,0.02,-0.68,0,0
100,0.02,-0.68,1,0
100,0.02,-0.68,2,0
100,0.02,-0.6900000000000001,0,0
100,0.02,-0.6900000000000001,1,0
100,0.02,-0.6900000000000001,2,0
100,0.02,-0.7000000000000001,0,0
100,0.02,-0.7000000000000001,1,0
100,0.02,-0.7000000000000001,2,0
100,0.02,-0.7100000000000001,0,0
100,0.02,-0.7100000000000001,1,0
100,0.02,-0.7100000000000001,2,0
100,0.02,-0.7200000000000001,0,0
100,0.02,-0.7200000000000001,1,0
100,0.02,-0.7200000000000001,2,0
100,0.02,-0.73,0,0
100,0.02,-0.73,1,0
100,0.02,-0.73,2,0
100,0.02,-0.74,0,0
100,0.02,-0.74,1,0
100,0.02,-0.74,2,0
100,0.02,-0.75,0,0
100,0.02,-0.75,1,0
100,0.02,-0.75,2,0
100,0.02,-0.76,0,0
100,0.02,-0.76,1,0
100,0.02,-0.76,2,0
100,0.02,-0.77,0,0
100,0.02,-0.77,1,9922
100,0.02,-0.77,2,0
100,0.02,-0.78,0,0
100,0.02,-0.78,1,9887
100,0.02,-0.78,2,0
100,0.02,-0.79,0,0
100,0.02,-0.79,1,9898
100,0.02,-0.79,2,0
100,0.02,-0.8,0,0
100,0.02,-0.8,1,0
100,0.02,-0.8,2,0
100,0.02,0.010000000000000009,0,6510
100,0.02,0.010000000000000009,1,3590
100,0.02,0.010000000000000009,2,1000
100,0.02,0.020000000000000018,0,2280
100,0.02,0.020000000000000018,1,1380
100,0.02,0.020000000000000018,2,190
100,0.02,0.030000000000000027,0,1210
100,0.02,0.030000000000000027,1,790
100,0.02,0.030000000000000027,2,0
100,0.02,0.039999999999999925,0,790
100,0.02,0.039999999999999925,1,540
100,0.02,0.039999999999999925,2,0
100,0.02,0.04999999999999993,0,580
100,0.02,0.04999999999999993,1,400
100,0.02,0.04999999999999993,2,0
100,0.02,0.05999999999999994,0,450
100,0.02,0.05999999999999994,1,310
100,0.02,0.05999999999999994,2,0
100,0.02,0.06999999999999995,0,370
100,0.02,0.06999999999999995,1,250
100,0.02,0.06999999999999995,2,0
100,0.02,0.07999999999999996,0,320
