N,J,K,seed,transient_time,converged,window_size,threshold
280,0.2,-0.5,1,54,True,50,0.01
280,0.2,-0.5,10,60,True,50,0.01
280,0.2,-0.5,11,88,True,50,0.01
280,0.2,-0.5,12,57,True,50,0.01
280,0.2,-0.5,2,52,True,50,0.01
280,0.2,-0.5,23,50,True,50,0.01
280,0.2,-0.5,24,52,True,50,0.01
280,0.2,-0.5,25,55,True,50,0.01
280,0.2,-0.5,26,53,True,50,0.01
280,0.2,-0.5,27,64,True,50,0.01
280,0.2,-0.5,28,50,True,50,0.01
280,0.2,-0.5,29,50,True,50,0.01
280,0.2,-0.5,3,65,True,50,0.01
280,0.2,-0.5,4,50,True,50,0.01
280,0.2,-0.5,5,98,True,50,0.01
280,0.2,-0.5,6,63,True,50,0.01
280,0.2,-0.5,7,50,True,50,0.01
280,0.2,-0.5,8,69,True,50,0.01
280,0.2,-0.5,9,81,True,50,0.01
290,0.2,-0.5,0,52,True,50,0.01
290,0.2,-0.5,1,54,True,50,0.01
290,0.2,-0.5,16,97,True,50,0.01
290,0.2,-0.5,17,57,True,50,0.01
290,0.2,-0.5,18,76,True,50,0.01
290,0.2,-0.5,19,78,True,50,0.01
290,0.2,-0.5,2,87,True,50,0.01
290,0.2,-0.5,20,60,True,50,0.01
290,0.2,-0.5,21,50,True,50,0.01
290,0.2,-0.5,22,50,True,50,0.01
290,0.2,-0.5,23,75,True,50,0.01
290,0.2,-0.5,24,55,True,50,0.01
290,0.2,-0.5,25,79,True,50,0.01
290,0.2,-0.5,26,50,True,50,0.01
290,0.2,-0.5,27,65,True,50,0.01
290,0.2,-0.5,3,50,True,50,0.01
290,0.2,-0.5,4,66,True,50,0.01
290,0.2,-0.5,5,50,True,50,0.01
290,0.2,-0.5,6,50,True,50,0.01
300,0.2,-0.5,10,77,True,50,0.01
300,0.2,-0.5,11,90,True,50,0.01
300,0.2,-0.5,12,80,True,50,0.01
300,0.2,-0.5,13,78,True,50,0.01
300,0.2,-0.5,14,63,True,50,0.01
300,0.2,-0.5,15,66,True,50,0.01
300,0.2,-0.5,16,80,True,50,0.01
300,0.2,-0.5,17,66,True,50,0.01
300,0.2,-0.5,18,54,True,50,0.01
300,0.2,-0.5,9,90,True,50,0.01
310,0.2,-0.5,2,50,True,50,0.01
310,0.2,-0.5,25,66,True,50,0.01
310,0.2,-0.5,26,89,True,50,0.01
310,0.2,-0.5,27,85,True,50,0.01
310,0.2,-0.5,28,65,True,50,0.01
310,0.2,-0.5,29,50,True,50,0.01
310,0.2,-0.5,3,53,True,50,0.01
310,0.2,-0.5,4,77,True,50,0.01
310,0.2,-0.5,5,50,True,50,0.01
310,0.2,-0.5,6,65,True,50,0.01
310,0.2,-0.5,7,71,True,50,0.01
310,0.2,-0.5,8,56,True,50,0.01
320,0.2,-0.5,0,50,True,50,0.01
320,0.2,-0.5,18,71,True,50,0.01
320,0.2,-0.5,19,53,True,50,0.01
320,0.2,-0.5,20,68,True,50,0.01
320,0.2,-0.5,21,50,True,50,0.01
320,0.2,-0.5,22,68,True,50,0.01
330,0.2,-0.5,11,72,True,50,0.01
330,0.2,-0.5,12,50,True,50,0.01
50,0.2,-0.5,0,96,True,50,0.01
50,0.2,-0.5,1,64,True,50,0.01
50,0.2,-0.5,10,66,True,50,0.01
50,0.2,-0.5,11,108,True,50,0.01
50,0.2,-0.5,12,69,True,50,0.01
50,0.2,-0.5,13,60,True,50,0.01
50,0.2,-0.5,14,54,True,50,0.01
50,0.2,-0.5,15,91,True,50,0.01
