N,J,K,seed,transient_time,converged,window_size,threshold
200,0.2,0.2,8,208,True,50,0.01
200,0.2,0.2,9,226,True,50,0.01
210,0.2,0.2,0,253,True,50,0.01
210,0.2,0.2,1,199,True,50,0.01
210,0.2,0.2,10,204,True,50,0.01
210,0.2,0.2,11,220,True,50,0.01
210,0.2,0.2,12,275,True,50,0.01
210,0.2,0.2,13,222,True,50,0.01
210,0.2,0.2,14,166,True,50,0.01
210,0.2,0.2,15,221,True,50,0.01
210,0.2,0.2,16,242,True,50,0.01
210,0.2,0.2,17,200,True,50,0.01
210,0.2,0.2,18,217,True,50,0.01
210,0.2,0.2,19,201,True,50,0.01
210,0.2,0.2,2,202,True,50,0.01
210,0.2,0.2,20,185,True,50,0.01
210,0.2,0.2,21,266,True,50,0.01
210,0.2,0.2,22,222,True,50,0.01
210,0.2,0.2,23,226,True,50,0.01
210,0.2,0.2,24,209,True,50,0.01
210,0.2,0.2,25,240,True,50,0.01
210,0.2,0.2,26,252,True,50,0.01
210,0.2,0.2,27,204,True,50,0.01
210,0.2,0.2,28,239,True,50,0.01
210,0.2,0.2,29,238,True,50,0.01
210,0.2,0.2,3,275,True,50,0.01
210,0.2,0.2,4,257,True,50,0.01
210,0.2,0.2,5,301,True,50,0.01
210,0.2,0.2,6,253,True,50,0.01
210,0.2,0.2,7,232,True,50,0.01
210,0.2,0.2,8,220,True,50,0.01
210,0.2,0.2,9,236,True,50,0.01
220,0.2,0.2,0,252,True,50,0.01
220,0.2,0.2,1,201,True,50,0.01
220,0.2,0.2,10,219,True,50,0.01
220,0.2,0.2,11,262,True,50,0.01
220,0.2,0.2,12,333,True,50,0.01
220,0.2,0.2,13,220,True,50,0.01
220,0.2,0.2,14,191,True,50,0.01
220,0.2,0.2,15,214,True,50,0.01
220,0.2,0.2,16,212,True,50,0.01
220,0.2,0.2,17,201,True,50,0.01
220,0.2,0.2,18,226,True,50,0.01
220,0.2,0.2,19,219,True,50,0.01
220,0.2,0.2,2,215,True,50,0.01
220,0.2,0.2,20,193,True,50,0.01
220,0.2,0.2,21,279,True,50,0.01
220,0.2,0.2,22,242,True,50,0.01
220,0.2,0.2,23,220,True,50,0.01
220,0.2,0.2,24,270,True,50,0.01
220,0.2,0.2,25,235,True,50,0.01
220,0.2,0.2,26,223,True,50,0.01
220,0.2,0.2,27,190,True,50,0.01
220,0.2,0.2,28,250,True,50,0.01
220,0.2,0.2,29,234,True,50,0.01
220,0.2,0.2,3,224,True,50,0.01
220,0.2,0.2,4,225,True,50,0.01
220,0.2,0.2,5,298,True,50,0.01
220,0.2,0.2,6,226,True,50,0.01
220,0.2,0.2,7,245,True,50,0.01
220,0.2,0.2,8,244,True,50,0.01
220,0.2,0.2,9,247,True,50,0.01
230,0.2,0.2,0,222,True,50,0.01
230,0.2,0.2,1,198,True,50,0.01
230,0.2,0.2,10,209,True,50,0.01
230,0.2,0.2,11,278,True,50,0.01
230,0.2,0.2,12,255,True,50,0.01
230,0.2,0.2,13,181,True,50,0.01
230,0.2,0.2,14,165,True,50,0.01
230,0.2,0.2,15,224,True,50,0.01
230,0.2,0.2,16,241,True,50,0.01
230,0.2,0.2,17,193,True,50,0.01
230,0.2,0.2,18,230,True,50,0.01
230,0.2,0.2,19,219,True,50,0.01
230,0.2,0.2,2,202,True,50,0.01
230,0.2,0.2,20,178,True,50,0.01
230,0.2,0.2,21,300,True,50,0.01
230,0.2,0.2,22,210,True,50,0.01
230,0.2,0.2,23,255,True,50,0.01
230,0.2,0.2,24,207,True,50,0.01
230,0.2,0.2,25,251,True,50,0.01
230,0.2,0.2,26,211,True,50,0.01
230,0.2,0.2,27,227,True,50,0.01
230,0.2,0.2,28,268,True,50,0.01
230,0.2,0.2,29,248,True,50,0.01
230,0.2,0.2,3,249,True,50,0.01
230,0.2,0.2,4,233,True,50,0.01
230,0.2,0.2,5,187,True,50,0.01
230,0.2,0.2,6,246,True,50,0.01
230,0.2,0.2,7,283,True,50,0.01
230,0.2,0.2,8,243,True,50,0.01
230,0.2,0.2,9,248,True,50,0.01
240,0.2,0.2,0,253,True,50,0.01
240,0.2,0.2,1,209,True,50,0.01
240,0.2,0.2,10,203,True,50,0.01
240,0.2,0.2,11,239,True,50,0.01
240,0.2,0.2,12,315,True,50,0.01
240,0.2,0.2,13,192,True,50,0.01
240,0.2,0.2,14,176,True,50,0.01
240,0.2,0.2,15,250,True,50,0.01
240,0.2,0.2,16,297,True,50,0.01
240,0.2,0.2,17,192,True,50,0.01
240,0.2,0.2,18,241,True,50,0.01
240,0.2,0.2,19,224,True,50,0.01
240,0.2,0.2,2,247,True,50,0.01
240,0.2,0.2,20,169,True,50,0.01
240,0.2,0.2,21,285,True,50,0.01
240,0.2,0.2,22,205,True,50,0.01
240,0.2,0.2,23,221,True,50,0.01
240,0.2,0.2,24,206,True,50,0.01
240,0.2,0.2,25,206,True,50,0.01
240,0.2,0.2,26,233,True,50,0.01
240,0.2,0.2,27,214,True,50,0.01
240,0.2,0.2,28,264,True,50,0.01
240,0.2,0.2,29,228,True,50,0.01
240,0.2,0.2,3,250,True,50,0.01
240,0.2,0.2,4,248,True,50,0.01
240,0.2,0.2,5,244,True,50,0.01
240,0.2,0.2,6,227,True,50,0.01
240,0.2,0.2,7,253,True,50,0.01
240,0.2,0.2,8,269,True,50,0.01
240,0.2,0.2,9,234,True,50,0.01
250,0.2,0.2,0,234,True,50,0.01
250,0.2,0.2,1,204,True,50,0.01
250,0.2,0.2,10,200,True,50,0.01
250,0.2,0.2,11,263,True,50,0.01
250,0.2,0.2,12,240,True,50,0.01
250,0.2,0.2,13,196,True,50,0.01
250,0.2,0.2,14,171,True,50,0.01
250,0.2,0.2,15,234,True,50,0.01
250,0.2,0.2,16,229,True,50,0.01
250,0.2,0.2,17,219,True,50,0.01
250,0.2,0.2,18,232,True,50,0.01
250,0.2,0.2,19,229,True,50,0.01
250,0.2,0.2,2,220,True,50,0.01
250,0.2,0.2,20,174,True,50,0.01
250,0.2,0.2,21,230,True,50,0.01
250,0.2,0.2,22,201,True,50,0.01
250,0.2,0.2,23,253,True,50,0.01
250,0.2,0.2,24,214,True,50,0.01
250,0.2,0.2,25,212,True,50,0.01
250,0.2,0.2,26,228,True,50,0.01
250,0.2,0.2,27,191,True,50,0.01
250,0.2,0.2,28,341,True,50,0.01
250,0.2,0.2,29,261,True,50,0.01
250,0.2,0.2,3,243,True,50,0.01
250,0.2,0.2,4,269,True,50,0.01
250,0.2,0.2,5,263,True,50,0.01
250,0.2,0.2,6,211,True,50,0.01
250,0.2,0.2,7,223,True,50,0.01
250,0.2,0.2,8,215,True,50,0.01
250,0.2,0.2,9,250,True,50,0.01
260,0.2,0.2,0,246,True,50,0.01
260,0.2,0.2,1,221,True,50,0.01
260,0.2,0.2,10,216,True,50,0.01
260,0.2,0.2,11,225,True,50,0.01
260,0.2,0.2,12,214,True,50,0.01
260,0.2,0.2,13,185,True,50,0.01
260,0.2,0.2,14,180,True,50,0.01
260,0.2,0.2,15,228,True,50,0.01
260,0.2,0.2,16,250,True,50,0.01
260,0.2,0.2,17,207,True,50,0.01
260,0.2,0.2,18,206,True,50,0.01
260,0.2,0.2,19,238,True,50,0.01
260,0.2,0.2,2,218,True,50,0.01
260,0.2,0.2,20,190,True,50,0.01
260,0.2,0.2,21,224,True,50,0.01
260,0.2,0.2,22,197,True,50,0.01
260,0.2,0.2,23,231,True,50,0.01
260,0.2,0.2,24,210,True,50,0.01
260,0.2,0.2,25,245,True,50,0.01
260,0.2,0.2,26,233,True,50,0.01
260,0.2,0.2,27,225,True,50,0.01
260,0.2,0.2,28,263,True,50,0.01
260,0.2,0.2,29,241,True,50,0.01
260,0.2,0.2,3,227,True,50,0.01
260,0.2,0.2,4,233,True,50,0.01
260,0.2,0.2,5,286,True,50,0.01
260,0.2,0.2,6,256,True,50,0.01
260,0.2,0.2,7,227,True,50,0.01
260,0.2,0.2,8,226,True,50,0.01
260,0.2,0.2,9,281,True,50,0.01
270,0.2,0.2,0,303,True,50,0.01
270,0.2,0.2,1,205,True,50,0.01
270,0.2,0.2,10,282,True,50,0.01
270,0.2,0.2,11,283,True,50,0.01
270,0.2,0.2,12,231,True,50,0.01
270,0.2,0.2,13,183,True,50,0.01
270,0.2,0.2,14,178,True,50,0.01
270,0.2,0.2,15,241,True,50,0.01
270,0.2,0.2,16,215,True,50,0.01
270,0.2,0.2,17,199,True,50,0.01
270,0.2,0.2,18,237,True,50,0.01
270,0.2,0.2,19,234,True,50,0.01
270,0.2,0.2,2,214,True,50,0.01
270,0.2,0.2,20,190,True,50,0.01
